user,n,B,A_n,rate_per_s,n_days
0x3674dfce1c83ef21ee451d1c17d724796785ede7,206997,0.25619722498536734,0.2594345253307372,0.0657380020422072,40
0x75f15ad634f336f63754254c0ea13d953cf6fc4e,194397,0.8950062771383436,0.9231608728213485,0.05028937429493893,38
0x6e6f2ca77afaee5a22dc3cf0f903f39a548a82a6,189346,0.8310359771133031,0.855990510162504,0.044579417007330084,50
0x9a3664a58b6a6579319c44bdd06a381ec8b47b6a,182298,0.7085654890057506,0.7635075862684768,0.012845901124348205,66
0xbed1f9b853becedcc054299a0d962096c19a0790,179542,0.7911778318378238,0.8047095614298319,0.04258341517097257,25
0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,174782,0.8173344528646348,0.8472343367774624,0.037220625001993725,51
0x2d2346c225d586be7304c8804a94e9ce5ce752c3,173585,0.7719640935852141,0.799096273990284,0.03955212399506512,56
0x680f3431758ec9c95bae1ab71ad5a3588fd2e71c,172940,0.7138331092023822,0.7276325138523376,0.09198289081597472,20
0x5a76851beb5cdb8c96b1e819502cf1688c2b4ddf,170384,0.4052487222204828,0.4200172647543795,0.019431578313400734,98
0x984e16e759ac515784f90dd88443260e482c63c1,168095,0.7054005465976023,0.7798333636359451,0.006530333309404555,66
0x0a97692d91fa9195a52da81cca2051c032c5347d,167507,0.8353110217527477,0.8690201714629148,0.04236121216826498,49
0x806ea832ae8703cf703a8792268c8141d182158c,166473,0.5040601205530755,0.5347890184213072,0.018876106089284698,94
0x6ecbb68c07bd4be7adb7f0365e9263e382aeca2d,160224,0.7083970851587746,0.7684242005717481,0.009358352922980163,67
0xcfea17596c15e0f4fe3ba9cab1fcbe804bbbdbbf,158042,0.6705918179451555,0.7463384103469914,0.003920778216731028,63
0x7f6cde7e5c25825e2d630fef1d13bcd13e4869f1,155570,0.8554290743717186,0.9027737386905506,0.16288953765505887,49
0xbfa317b7468a97e4e6a7a3c138b86ca0b7395477,155437,0.7087539607984181,0.7789282352070797,0.007578875103395706,66
0xdeb4e421c6c2ef444878739d1620fd715ca5fd44,154374,0.7714420611903913,0.8449828941412509,0.011241776134653908,27
0xf33981c8ba5f42082f001cbc31a2a16fd0d60fbd,151943,0.6869782206169727,0.703629017613803,0.06530184852296622,31
0xcc5b1fef95f632c4a25f95ad88bfe12f928d04cb,145961,0.07479822948165538,0.07586580165628136,0.054509886067040145,32
