a,b,px,horizon,n,rank_corr,same_sign
AMD,SKHX,micro,300ms,70,0.6388067535648675,0.6
AMD,SKHX,micro,500ms,70,0.6738343102090806,0.6428571428571429
AMD,SKHX,micro,1s,70,0.7045927740355173,0.7142857142857143
AMD,SKHX,micro,3s,70,0.8245822762662933,0.8428571428571429
AMD,SKHX,micro,5s,70,0.8691977954684629,0.8285714285714286
AMD,SKHX,micro,10s,70,0.8775960108476948,0.8285714285714286
AMD,SKHX,micro,30s,70,0.857650249322019,0.8714285714285714
AMD,SKHX,micro,60s,70,0.8320356924153617,0.8428571428571429
AMD,SMSN,mid,ALL,630,0.9445738324455583,0.9063492063492063
AMD,SMSN,mid,100ms,70,0.627119237162103,0.8428571428571429
AMD,SMSN,mid,300ms,70,0.661306972268393,0.8285714285714286
AMD,SMSN,mid,500ms,70,0.7871052401364711,0.8857142857142857
AMD,SMSN,mid,1s,70,0.8230076108826873,0.8714285714285714
AMD,SMSN,mid,3s,70,0.8092555331991952,0.9285714285714286
AMD,SMSN,mid,5s,70,0.8217478785758027,0.9285714285714286
AMD,SMSN,mid,10s,70,0.8187385180649113,0.9571428571428572
AMD,SMSN,mid,30s,70,0.8586300411162627,0.9428571428571428
AMD,SMSN,mid,60s,70,0.8803604234100253,0.9714285714285714
AMD,SMSN,micro,ALL,630,0.8831901458917399,0.8587301587301587
AMD,SMSN,micro,100ms,70,0.8135246260169715,0.8
AMD,SMSN,micro,300ms,70,0.8708774385443092,0.8285714285714286
AMD,SMSN,micro,500ms,70,0.8802554457177849,0.8
AMD,SMSN,micro,1s,70,0.783431020908057,0.7714285714285715
AMD,SMSN,micro,3s,70,0.8215729157554019,0.8571428571428571
AMD,SMSN,micro,5s,70,0.8772460852068935,0.9
AMD,SMSN,micro,10s,70,0.8999212667308195,0.9285714285714286
AMD,SMSN,micro,30s,70,0.902125798267868,0.9285714285714286
AMD,SMSN,micro,60s,70,0.8782258770011372,0.9142857142857143
AMD,SNDK,mid,ALL,603,0.9411649481793909,0.9170812603648425
AMD,SNDK,mid,100ms,67,0.6901588315108949,0.8656716417910447
AMD,SNDK,mid,300ms,67,0.6314550243435232,0.8656716417910447
AMD,SNDK,mid,500ms,67,0.8183813552558067,0.8955223880597015
AMD,SNDK,mid,1s,67,0.8302737648655122,0.9253731343283582
AMD,SNDK,mid,3s,67,0.8892569239364675,0.9253731343283582
AMD,SNDK,mid,5s,67,0.9110862798307928,0.9552238805970149
AMD,SNDK,mid,10s,67,0.9404980445366751,0.9253731343283582
AMD,SNDK,mid,30s,67,0.9563811956261475,0.9402985074626866
AMD,SNDK,mid,60s,67,0.918908133131136,0.9552238805970149
AMD,SNDK,micro,ALL,603,0.6574989565604028,0.6500829187396352
AMD,SNDK,micro,100ms,67,0.3380158033362599,0.5970149253731343
AMD,SNDK,micro,300ms,67,0.33965200734296436,0.5223880597014925
AMD,SNDK,micro,500ms,67,0.30836459414159156,0.5223880597014925
AMD,SNDK,micro,1s,67,0.5917471466198421,0.6716417910447762
AMD,SNDK,micro,3s,67,0.6425492856572753,0.7164179104477612
AMD,SNDK,micro,5s,67,0.7145422619522709,0.7014925373134329
AMD,SNDK,micro,10s,67,0.765943012211669,0.6865671641791045
AMD,SNDK,micro,30s,67,0.759797270332828,0.7164179104477612
AMD,SNDK,micro,60s,67,0.7415994891850907,0.7164179104477612
KIOXIA,SKHX,mid,ALL,594,0.8640466192097972,0.7929292929292929
KIOXIA,SKHX,mid,100ms,66,0.7225341822356749,0.6818181818181818
KIOXIA,SKHX,mid,300ms,66,0.6768604529798561,0.7121212121212122
KIOXIA,SKHX,mid,500ms,66,0.6557353094666528,0.696969696969697
KIOXIA,SKHX,mid,1s,66,0.7158960442542533,0.7272727272727273
KIOXIA,SKHX,mid,3s,66,0.8315833420311034,0.8333333333333334
KIOXIA,SKHX,mid,5s,66,0.8723724037156874,0.8333333333333334
KIOXIA,SKHX,mid,10s,66,0.8854399332011272,0.8787878787878788
KIOXIA,SKHX,mid,30s,66,0.8905333472497653,0.8636363636363636
KIOXIA,SKHX,mid,60s,66,0.9001356852103124,0.9090909090909091
KIOXIA,SKHX,micro,ALL,594,0.6757801776748309,0.6262626262626263
KIOXIA,SKHX,micro,100ms,66,0.7824444212503915,0.6515151515151515
KIOXIA,SKHX,micro,300ms,66,0.7011585429495878,0.6060606060606061
KIOXIA,SKHX,micro,500ms,66,0.7002818077444944,0.5757575757575758
KIOXIA,SKHX,micro,1s,66,0.7177330132554014,0.5909090909090909
KIOXIA,SKHX,micro,3s,66,0.7221584385763492,0.5606060606060606
KIOXIA,SKHX,micro,5s,66,0.699405072539401,0.5909090909090909
KIOXIA,SKHX,micro,10s,66,0.7542218975054797,0.6515151515151515
KIOXIA,SKHX,micro,30s,66,0.7803987057718402,0.6818181818181818
KIOXIA,SKHX,micro,60s,66,0.8170128379083604,0.7272727272727273
KIOXIA,SMSN,mid,ALL,594,0.8789816340456157,0.8063973063973064
KIOXIA,SMSN,mid,100ms,66,0.8190585533869117,0.696969696969697
KIOXIA,SMSN,mid,300ms,66,0.8034025675816723,0.7575757575757576
KIOXIA,SMSN,mid,500ms,66,0.7698361340152386,0.696969696969697
KIOXIA,SMSN,mid,1s,66,0.8578436488884252,0.8181818181818182
KIOXIA,SMSN,mid,3s,66,0.9022648992798248,0.8484848484848485
KIOXIA,SMSN,mid,5s,66,0.9103225133075881,0.8484848484848485
KIOXIA,SMSN,mid,10s,66,0.9068990710781758,0.8636363636363636
KIOXIA,SMSN,mid,30s,66,0.8813902515395053,0.8484848484848485
KIOXIA,SMSN,mid,60s,66,0.8918693247051458,0.8787878787878788
KIOXIA,SMSN,micro,ALL,594,0.8030415968318952,0.7895622895622896
KIOXIA,SMSN,micro,100ms,66,0.9522805552656302,0.9242424242424242
KIOXIA,SMSN,micro,300ms,66,0.9204258428139026,0.8181818181818182
KIOXIA,SMSN,micro,500ms,66,0.9351633441185682,0.803030303030303
KIOXIA,SMSN,micro,1s,66,0.9181296315624675,0.8333333333333334
KIOXIA,SMSN,micro,3s,66,0.8463208433357688,0.7878787878787878
KIOXIA,SMSN,micro,5s,66,0.8085377309257908,0.7272727272727273
KIOXIA,SMSN,micro,10s,66,0.866777998121282,0.7272727272727273
KIOXIA,SMSN,micro,30s,66,0.8346727898966707,0.7121212121212122
KIOXIA,SMSN,micro,60s,66,0.855923181296316,0.7727272727272727
KIOXIA,SNDK,mid,ALL,576,0.7772221384974758,0.8107638888888888
KIOXIA,SNDK,mid,100ms,64,0.4897435897435897,0.71875
KIOXIA,SNDK,mid,300ms,64,0.46758241758241753,0.734375
KIOXIA,SNDK,mid,500ms,64,0.4728479853479852,0.765625
KIOXIA,SNDK,mid,1s,64,0.44954212454212444,0.71875
KIOXIA,SNDK,mid,3s,64,0.6114010989010988,0.875
KIOXIA,SNDK,mid,5s,64,0.6794871794871794,0.875
KIOXIA,SNDK,mid,10s,64,0.7222069597069596,0.84375
KIOXIA,SNDK,mid,30s,64,0.7489926739926738,0.859375
KIOXIA,SNDK,mid,60s,64,0.7351190476190474,0.90625
KIOXIA,SNDK,micro,ALL,576,0.36213560897194386,0.5486111111111112
KIOXIA,SNDK,micro,100ms,64,0.5072802197802198,0.625
KIOXIA,SNDK,micro,300ms,64,0.38704212454212444,0.5625
KIOXIA,SNDK,micro,500ms,64,0.33699633699633696,0.59375
