feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_rate,60,dir,0.00014739803290279326,-0.0014011778728775979,-0.005344342188216515,38,98,-2.2223355980148636,0.026260634117795476,62,2.626396615835748,-0.0007152085109681622,-0.20203050891044214,140178
h_rate,60,vol,-0.08092798318260314,0.03307999811328834,-0.10598520860622798,28,98,-4.242640687119285,0.000022090496998585445,39,-2.0203050891044216,-0.15403976993090335,-4.848732213850612,140178
h_cond,1,dir,-0.0003396649370648354,-0.00037967852146221953,-0.0014226041524196943,41,98,-1.616244071283537,0.10604155370017078,47,-0.40406101782088427,-0.001505781633434828,-2.0203050891044216,933993
h_cond,1,vol,-0.19397482780805878,0.004505645334056085,-0.1701619684364864,22,98,-5.454823740581938,4.9021446491897744e-8,48,-0.20203050891044214,-0.2459890407242019,-5.656854249492381,933993
h_cond,2,dir,-0.0009405235191054834,-0.000589342226592137,-0.002382133009899175,38,98,-2.2223355980148636,0.026260634117795476,47,-0.40406101782088427,-0.002512636383421933,-1.616244071283537,840566
h_cond,2,vol,-0.19022982751974168,0.008650334748624807,-0.16919439929991864,24,98,-5.050762722761053,4.4004941431887113e-7,45,-0.8081220356417685,-0.2904792904508826,-5.454823740581938,840566
h_cond,5,dir,-0.00034027719724111016,-0.00213176568970501,-0.0035715961449044216,32,98,-3.4345186514775166,0.0005936072197460738,41,-1.616244071283537,-0.0015276948610001874,-0.8081220356417685,840504
h_cond,5,vol,-0.17242327013384248,0.014459223685696488,-0.16017201286923688,24,98,-5.050762722761053,4.4004941431887113e-7,43,-1.212183053462653,-0.3446371611172377,-5.454823740581938,840504
h_cond,10,dir,-0.0006505650295833194,-0.0014578099684092662,-0.004554297008693747,32,98,-3.4345186514775166,0.0005936072197460738,51,0.40406101782088427,-0.0026235066248474002,-0.40406101782088427,840607
h_cond,10,vol,-0.15758888334499976,0.02164387198123465,-0.15685098126710761,24,98,-5.050762722761053,4.4004941431887113e-7,42,-1.4142135623730951,-0.3902839049520005,-5.252793231671496,840607
h_cond,30,dir,-0.0006934050922768604,-0.002404963536508614,-0.004753693046757991,39,98,-2.0203050891044216,0.04335175126086261,53,0.8081220356417685,-0.00018121632257596916,-0.20203050891044214,280135
