feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,6,3.0,834960.0,199487.0,32494.091677938857,-148127.65411659185,-133188.41843865305,219447.77199999997
obi,0,1,6,5.0,834960.0,258980.0,4506.057324296056,-210236.0736637644,-228520.25633946838,449688.2080000001
obi,0,1,6,10.0,834960.0,351237.0,-53468.18330727461,-323273.3254520173,-407650.36475929176,1112885.3340000007
obi,0,1,6,30.0,834960.0,505860.0,-160193.15476567132,-547446.5568131972,-752155.3915788681,3907406.812999998
obi,0,1,6,60.0,834960.0,584719.0,-216870.28467325048,-716000.1472124379,-984325.7038856872,7320970.027999993
obi,0,1,7,0.1,842225.0,26199.0,21975.830965132365,-1768.341783171323,17901.97718196103,1171.349
obi,0,1,7,0.5,842225.0,64888.0,43511.82803832415,-16587.21388846231,21214.470149861845,12407.187
obi,0,1,7,1.0,842225.0,104431.0,52160.37018079095,-45837.84702701162,-2867.4048462206665,41243.48599999999
obi,0,1,7,3.0,842225.0,205878.0,36470.72462021815,-136753.76399640314,-118400.303376185,227923.4899999999
obi,0,1,7,5.0,842225.0,267497.0,7557.815823508512,-199659.844782398,-215641.7649588896,466259.39300000004
obi,0,1,7,10.0,842225.0,363381.0,-52626.805915182755,-310272.47150430945,-394876.805419492,1155459.4170000008
obi,0,1,7,30.0,842225.0,523729.0,-159364.72981901423,-519818.63786924985,-725271.5196882639,4040702.380999997
obi,0,1,7,60.0,842225.0,600937.0,-212431.4705339704,-693405.1883079334,-958719.1148419045,7371810.371999996
obi,0,1,8,0.1,838282.0,26893.0,22434.53832915909,359.26561577916584,20427.219944938246,1207.8439999999998
obi,0,1,8,0.5,838282.0,65703.0,44640.865236152444,-9373.647223485517,29485.35401266693,12502.911
obi,0,1,8,1.0,838282.0,105018.0,53199.48543583842,-36193.479550267206,7764.421885571199,41175.835999999974
obi,0,1,8,3.0,838282.0,207664.0,34305.37571692447,-127041.4977626061,-111010.5540456816,230287.80299999987
obi,0,1,8,5.0,838282.0,270855.0,1522.1917119703412,-187788.58035512257,-210101.62864315236,475050.178
obi,0,1,8,10.0,838282.0,368284.0,-63765.51903654022,-298456.6959769906,-394631.207013531,1173972.0650000016
obi,0,1,8,30.0,838282.0,526491.0,-174407.0831025826,-522280.53212622285,-743018.8232288056,4022870.9189999993
obi,0,1,8,60.0,838282.0,602229.0,-238087.45540399489,-703239.868232416,-994323.4756364119,7288942.278999996
obi,0,1,9,0.1,871863.0,30106.0,24363.641923965824,4065.0415762907737,25779.355500256595,1345.171
obi,0,1,9,0.5,871863.0,71946.0,49555.65334590733,2279.997377703895,45504.40272361125,13426.671000000004
obi,0,1,9,1.0,871863.0,113937.0,59813.890657888405,-21682.94848804561,28104.486169842814,44102.73699999999
obi,0,1,9,3.0,871863.0,223765.0,37342.77086396554,-107341.18186950346,-89689.73100553796,246958.91500000007
obi,0,1,9,5.0,871863.0,291052.0,1870.0991208671735,-171687.64981255066,-195430.12669168325,507996.326
obi,0,1,9,10.0,871863.0,393731.0,-64506.77625467344,-289567.04156467866,-388722.1458193512,1246035.2500000005
obi,0,1,9,30.0,871863.0,556858.0,-165166.1792538379,-488302.4136876038,-702472.0969414422,4173235.634999997
obi,0,1,9,60.0,871863.0,633860.0,-209130.95254465807,-622695.8788954525,-887606.5114401096,7485375.230999993
obi,0,-1,0,0.1,881160.0,45779.0,38052.14414434634,-6418.783904820332,40442.37604916665,1954.446
obi,0,-1,0,0.5,881160.0,89601.0,66482.59060070102,-8634.015944235869,67231.71854493688,14544.732999999998
obi,0,-1,0,1.0,881160.0,132982.0,79409.75195734626,11752.48977490481,55954.84618244141,46300.83799999997
obi,0,-1,0,3.0,881160.0,258195.0,68486.21991549445,88986.89198431383,-43221.832068819465,271304.1369999999
obi,0,-1,0,5.0,881160.0,333896.0,38275.33413258294,148692.35373861244,-139799.86760602947,560883.1480000004
obi,0,-1,0,10.0,881160.0,444896.0,-18785.20153582623,247404.88495286016,-305340.93448868615,1349753.138000002
obi,0,-1,0,30.0,881160.0,610616.0,-95323.19277678484,398861.4351957641,-547918.8359725482,4287961.904999994
obi,0,-1,0,60.0,881160.0,679572.0,-122828.08060447613,492932.2892399466,-675562.7058444219,7262316.064999994
obi,0,-1,1,0.1,828918.0,40140.0,33720.2399078462,-1336.991840348658,31524.91174819485,1719.1079999999997
obi,0,-1,1,0.5,828918.0,80094.0,58016.90661429551,7142.874783771101,43825.759830524396,13232.421000000002
obi,0,-1,1,1.0,828918.0,120183.0,68454.60081367448,32772.92571268869,25105.571100985828,42581.227999999996
obi,0,-1,1,3.0,828918.0,235064.0,58037.28702657338,114567.6671197799,-77216.01209320652,248622.325
