feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,7,1.0,817056.0,63918.0,119489.1392356443,-61426.81213783837,52437.54309780592,26780.743
obi,0,1,7,3.0,817056.0,127310.0,221652.36836817165,-173248.02899022857,37201.0593779433,143999.11399999997
obi,0,1,7,5.0,817056.0,167681.0,286360.640544453,-266490.7284432462,5113.9841012072375,300927.1730000001
obi,0,1,7,10.0,817056.0,234750.0,404117.76923650014,-429176.5649451663,-45716.795708666075,786243.19
obi,0,1,7,30.0,817056.0,364894.0,719705.8676499175,-778419.0430009427,-90823.84735102407,3178850.385999998
obi,0,1,7,60.0,817056.0,439317.0,903905.3881095215,-1042259.9834571689,-177014.49134764727,6418430.4120000005
obi,0,1,8,0.1,836469.0,12463.0,41927.30731291808,-5000.266074156446,35830.29723876166,579.13
obi,0,1,8,0.5,836469.0,38100.0,92330.50640277255,-23214.64971999138,65763.05668278124,8046.987999999999
obi,0,1,8,1.0,836469.0,63988.0,135465.10093869432,-55479.90874806608,74354.24819062812,26897.803999999996
obi,0,1,8,3.0,836469.0,128474.0,261018.3364827124,-166407.77334175093,83304.85114096153,145784.326
obi,0,1,8,5.0,836469.0,169394.0,343612.2930666757,-255846.4225252521,72859.19854142374,304839.01899999985
obi,0,1,8,10.0,836469.0,238303.0,502290.17000047304,-412376.4186123731,68943.08738810051,803111.1690000001
obi,0,1,8,30.0,836469.0,375675.0,961422.727796608,-714512.3202925633,213851.00750404573,3340138.13
obi,0,1,8,60.0,836469.0,450472.0,1155115.0617128124,-941807.5002830239,173666.02542979462,6598690.576999993
obi,0,1,9,0.1,878866.0,16280.0,40435.89783792489,-2687.0691112149675,36316.18872670994,773.1449999999998
obi,0,1,9,0.5,878866.0,49085.0,97315.01616711277,-15862.706330863119,77132.82983624963,10268.222999999996
obi,0,1,9,1.0,878866.0,81654.0,146962.88920772087,-48211.24851101707,91566.08869670382,33987.01900000001
obi,0,1,9,3.0,878866.0,159262.0,273726.99393204064,-153642.5375878081,106069.40034423232,177255.85
obi,0,1,9,5.0,878866.0,206684.0,352428.0244428449,-232427.03732128913,101812.79512155597,361556.2269999999
obi,0,1,9,10.0,878866.0,283986.0,504767.9399968256,-368222.54312660126,111554.62887022427,919457.5020000006
obi,0,1,9,30.0,878866.0,432543.0,932815.8576630439,-618972.4425073459,275779.6311557076,3652575.181000001
obi,0,1,9,60.0,878866.0,510782.0,1102918.375714568,-817071.0668866319,240898.4928279494,7045799.216999991
obi,0,-1,0,0.1,893020.0,19506.0,45400.57719426901,1366.968889191536,42317.08030507745,883.3010000000002
obi,0,-1,0,0.5,893020.0,49624.0,92772.27942649327,9638.894484485098,78766.47294200821,9562.117999999999
obi,0,-1,0,1.0,893020.0,79164.0,133684.96153353248,35173.69059185602,91544.83894167651,31100.846999999994
obi,0,-1,0,3.0,893020.0,155926.0,255120.67576644098,118218.91672069345,123180.27104574721,171196.76899999994
obi,0,-1,0,5.0,893020.0,204914.0,336856.62037788884,181988.35270797377,136835.83566991525,359914.19100000005
obi,0,-1,0,10.0,893020.0,285285.0,495369.335591444,284448.8877787628,185815.36781268197,938257.9920000016
obi,0,-1,0,30.0,893020.0,445128.0,912273.7899575867,433421.6658530201,439680.8601045687,3882830.3059999915
obi,0,-1,0,60.0,893020.0,521531.0,1057799.3462947535,459473.6073487789,552431.010945981,7195212.611999976
obi,0,-1,1,0.1,781503.0,15909.0,48313.94564342911,3400.887431583586,43513.06621184549,715.6879999999996
obi,0,-1,1,0.5,781503.0,40705.0,94558.19942820669,17728.155688160816,73248.00374004587,7903.160999999998
obi,0,-1,1,1.0,781503.0,65742.0,133256.17120312483,44615.50414783192,82855.37105529294,26154.980999999985
obi,0,-1,1,3.0,781503.0,132206.0,263526.52768282144,134648.93100123978,117243.46868158167,147607.882
obi,0,-1,1,5.0,781503.0,175156.0,350425.51851284655,204802.15023901843,130209.64027382815,313435.021
obi,0,-1,1,10.0,781503.0,247233.0,517499.4243358826,327722.3066679678,168020.61366791572,832107.4600000004
obi,0,-1,1,30.0,781503.0,390228.0,963551.3286997225,570611.6601482115,358599.6045515159,3470691.771999995
obi,0,-1,1,60.0,781503.0,460194.0,1118395.9281013564,771033.5499648153,306865.30613654817,6508138.469999996
obi,0,-1,2,0.1,825241.0,15929.0,45848.342362536634,5486.9499893232505,38959.64037321342,722.1879999999996
obi,0,-1,2,0.5,825241.0,41518.0,93318.00612775596,25238.3451916908,64426.07693606514,8155.615000000003
