bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
780.0,14,0.09715083333333333,446482.1278,0.0,0
780.0,15,2.1762502777777777,14418565.96156,0.0,0
780.0,16,6.651252499999999,51778830.128079996,0.0,0
780.0,17,0.0035277777777777777,240536.47405,0.0,0
780.0,18,0.020866111111111113,21068.465940000002,0.0,0
780.0,19,0.12481749999999998,125762.74485999999,0.0,0
780.0,20,2.3618972222222228,2875771.9446799997,3160.37426,17
780.0,21,0.003467777777777778,59454.224099999985,0.0,0
780.0,22,6.949102222222221,4670975.054959999,19095.943860000003,15
780.0,23,6.8926783333333335,15778636.427339999,0.0,0
780.0,24,1.5523275,4288507.075340001,0.0,0
780.0,25,0.2999955555555555,37995231.7627,858705.1627599999,131
780.0,26,0.7346269444444445,12718187.4959,8987.65879,8
780.0,27,0.9948475,23339223.73683,69702.47699,37
780.0,28,0.7001025,49523733.28524,0.0,0
780.0,29,0.7655233333333333,42041319.13337,3940.3833199999995,6
780.0,30,1.5562480555555556,48667394.27797,371106.58869,96
790.0,1,0.23124111111111112,2193974.02746,344028.17743999994,218
790.0,2,0.2287047222222222,538577.40904,0.0,0
790.0,3,0.3223633333333333,1991569.3546,0.0,0
790.0,4,1.823699722222222,22218086.311279997,0.0,0
790.0,5,4.426729722222222,12757514.50638,0.0,0
790.0,6,3.598543611111111,11347062.32671,79489.66327,45
790.0,7,3.0668991666666665,28724295.97084,0.0,0
790.0,8,0.27047777777777776,552755.63151,0.0,0
790.0,9,5.031173611111111,14653987.222040001,0.0,0
790.0,10,5.880431944444444,43765728.389919996,0.0,0
790.0,11,13.518085277777779,14245044.85531,447.7592000000001,1
790.0,12,1.9709244444444443,10540889.644129999,0.0,0
790.0,13,0.16592138888888888,19501002.67542,154726.09941000002,48
790.0,14,0.3126652777777778,23282856.63323,37708.4672,17
790.0,15,1.083043888888889,29871579.748970002,136.69422,1
790.0,16,0.9884491666666668,25539066.986250002,19.1964,1
790.0,17,0.04903472222222222,873128.18955,0.0,0
790.0,18,0.3622888888888889,15089362.86005,6264.00124,7
790.0,19,0.19170722222222222,12963746.92972,0.0,0
790.0,20,0.1417111111111111,48343353.48621,101.79876000000002,2
790.0,21,1.9116513888888889,52055282.78991,3885.1634499999996,5
800.0,1,0.4059980555555555,5930508.26369,456519.32368000003,211
800.0,2,0.07948916666666668,5115793.73281,0.0,0
800.0,3,1.7528288888888888,9866307.66761,0.0,0
800.0,4,0.6806500000000001,1251213.78926,0.0,0
800.0,5,0.024934444444444443,115906.84057999999,0.0,0
800.0,6,0.506393611111111,3302941.3561700005,8119.403920000001,9
800.0,7,2.2906280555555556,30620067.26725,0.0,0
800.0,8,8.445210277777777,32491008.51066,0.0,0
800.0,9,0.25164277777777777,503689.92037999997,0.0,0
800.0,10,0.22894222222222227,474108.18211,0.0,0
800.0,11,0.23339444444444446,878190.59109,0.0,0
800.0,12,0.5016552777777777,13117189.255649999,0.0,0
800.0,13,0.0,1252.0,0.0,0
800.0,14,0.0049997222222222205,737703.46054,0.0,0
800.0,15,0.08331305555555556,1483489.4496799998,0.0,0
800.0,16,0.8574183333333334,6331071.02599,200.57189,3
