ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1785057300000000000,54.709,54.712,1.8,158.3,54.7105,54.70903372891942,0.011242973141786383,0.5483408120927635,2354611405,2026-07-26
1785057360000000000,54.719,54.724,1.8,89.7,54.7215,54.71909836065574,0.019672131147540985,0.9137176429731372,979235374,2026-07-26
1785057420000000000,54.722,54.725,22.5,157.5,54.7235,54.722375,0.125,0.5482105493983597,18684911950,2026-07-26
1785057480000000000,54.765,54.767,9.1,253.7,54.766000000000005,54.76506925418568,0.03462709284627093,0.36519008143783444,196740685,2026-07-26
1785057540000000000,54.761,54.766,15.2,79.9,54.7635,54.76179915878023,0.15983175604626707,0.9130168816813119,80462469,2026-07-26
1785057600000000000,54.754,54.763,26.4,51.0,54.7585,54.75706976744185,0.3410852713178294,1.6435804486975247,7889529655,2026-07-26
1785057660000000000,54.764,54.768,10.7,19.3,54.766000000000005,54.76542666666668,0.35666666666666663,0.7303801628743714,6510379144,2026-07-26
1785057720000000000,54.754,54.755,17.8,1.8,54.7545,54.754908163265306,0.9081632653061225,0.18263339086372352,1558617543,2026-07-26
1785057780000000000,54.743,54.745,8.9,13.7,54.744,54.74378761061947,0.3938053097345133,0.36533684056615134,602155826,2026-07-26
1785057840000000000,54.745,54.754,20.1,1.8,54.7495,54.75326027397259,0.9178082191780822,1.6438506287729278,16518733,2026-07-26
1785057900000000000,54.722,54.727,39.5,19.9,54.7245,54.72532491582491,0.664983164983165,0.9136675529233621,2532739875,2026-07-26
1785057960000000000,54.71,54.715,31.9,1.8,54.712500000000006,54.71473293768547,0.9465875370919882,0.9138679460822586,241841314,2026-07-26
1785058020000000000,54.708,54.713,9.1,1.8,54.710499999999996,54.7121743119266,0.8348623853211009,0.9139013534883722,18751165903,2026-07-26
1785058080000000000,54.728,54.732,1.8,18.3,54.730000000000004,54.72835820895522,0.08955223880597014,0.7308605883423686,1090502809,2026-07-26
1785058140000000000,54.724,54.729,20.1,20.8,54.7265,54.72645721271393,0.49144254278728605,0.9136341626090756,2709228050,2026-07-26
1785058200000000000,54.727,54.733,27.4,1.8,54.73,54.732630136986295,0.9383561643835616,1.096290882514202,3787061867,2026-07-26
1785058260000000000,54.727,54.729,9.1,92.2,54.727999999999994,54.72717966436328,0.08983218163869694,0.3654436485898342,3060292686,2026-07-26
1785058320000000000,54.72,54.729,29.2,1.8,54.7245,54.728477419354846,0.9419354838709677,1.64460159526361,28739437620,2026-07-26
1785058380000000000,54.735,54.736,98.6,136.5,54.7355,54.7354193960017,0.4193960017014036,0.18269678727656993,5115223745,2026-07-26
1785058440000000000,54.731,54.736,8.9,20.1,54.7335,54.73253448275862,0.30689655172413793,0.9135173157198886,9520726215,2026-07-26
1785058500000000000,54.732,54.736,1.8,18.3,54.733999999999995,54.73235820895522,0.08955223880597014,0.7308071765260685,3064311279,2026-07-26
1785058560000000000,54.731,54.734,9.1,1.8,54.7325,54.73350458715596,0.8348623853211009,0.5481204037820515,4650080369,2026-07-26
1785058620000000000,54.72,54.724,9.1,20.1,54.721999999999994,54.72124657534246,0.3116438356164383,0.7309674354003479,1948527523,2026-07-26
1785058680000000000,54.694,54.7,23.2,20.1,54.697,54.69721478060047,0.535796766743649,1.0969523008574926,22944436360,2026-07-26
1785058740000000000,54.759,54.767,20.1,18.3,54.763000000000005,54.76318749999999,0.5234375,1.4608403484109107,1183469315,2026-07-26
1785058800000000000,54.764,54.769,1.8,43.5,54.7665,54.76419867549669,0.039735099337748346,0.9129668684315142,3814000000,2026-07-26
1785058860000000000,54.764,54.768,6.3,19.8,54.766000000000005,54.76496551724138,0.24137931034482757,0.7303801628743714,4756679557,2026-07-26
1785058920000000000,54.765,54.767,6.0,1.8,54.766000000000005,54.76653846153847,0.7692307692307693,0.36519008143783444,783933926,2026-07-26
1785058980000000000,54.749,54.751,18.3,1.8,54.75,54.75082089552239,0.9104477611940298,0.3652968036521167,4100745959,2026-07-26
1785059040000000000,54.763,54.764,18.3,1.8,54.7635,54.7639104477612,0.9104477611940298,0.18260337633730037,6123714866,2026-07-26
